PC1,spam
-856756.0002900759,0
-856756.8700516479,1
4972058.326273429,1
-749035.0027554882,0
-848032.2402477325,0
-856755.998352052,1
-856757.140408979,0
-856756.8699938804,1
-856757.1146665582,0
-849983.4153927363,0
770332.981704035,0
-855813.211854795,0
-697814.2424224168,0
316440.71859061427,1
3440927.600776342,0
-856756.6068137131,1
-757371.3882589679,0
-856756.4074095954,1
-856756.4565496651,1
70457.37681767438,0
-830740.3211374079,0
-855716.890908592,0
-856756.1891376626,1
3815559.395961327,0
4850414.328916254,1
-856757.1141729768,1
1346632.9075463098,0
-850792.7568028308,0
4850414.328791475,1
-856755.9980966885,1
-466709.1926889002,0
-856756.194955651,1
-856756.8558969651,1
8407786.308034807,1
-856744.4431080129,0
-856757.186340259,0
-856756.5944740518,1
-856756.8228581402,0
-781894.0032209163,0
4971469.130086904,0
-856756.4759275529,1
-311870.766057543,1
-856756.3563504549,1
814901.5921303692,0
-849059.0255052804,0
-856757.2233437101,1
-856150.1888288322,0
-856756.3572985774,1
-850324.9996833608,0
-856756.2388070896,1
-845099.4686987404,1
651560.952452456,1
-856757.1968924246,1
-856745.1139456958,0
-856756.2594854359,1
-856756.248899018,1
-856756.8700389687,1
-854567.1513819942,0
-856756.3894898032,1
-856756.3899054528,1
1346632.9075514902,0
-856756.8545305582,1
-852704.4767199238,0
-850746.5387920379,0
-856756.8544610942,1
-856756.8197243247,1
-856756.3896851337,1
-832170.0306663876,0
-855929.4111645996,0
823808.9641897284,0
-856755.9982402528,1
-856745.1145652913,0
-855463.4183683314,0
-856756.7582265863,1
-856756.4341257594,1
-849708.2289238006,1
-848356.4332539781,0
-856756.6914572106,1
-856745.1137238194,0
-856757.1141258326,1
7381280.747492343,1
-856757.114290049,1
-856694.1348349606,0
-377058.02324798657,0
-856755.9982373771,1
-813655.2852961652,0
1569724.5164563544,0
-856756.2711183672,0
-856756.0437769564,1
3006171.3554925974,0
-728624.743205518,0
-856756.0323826767,1
-804320.645051957,0
223505.98837464245,1
-562033.0036229116,0
-856749.4080680287,0
-475062.1773167567,0
-770294.9032272799,0
1489367.9721943545,0
-856756.6331898727,1
-856756.7053713466,0
-856756.0487439309,1
-812311.7772137616,0
-853232.9986311907,1
-856756.1173630347,1
8555793.885155147,1
-856755.998885651,0
4850414.328814846,1
-856755.9977462959,1
-644021.7404338459,0
-856212.6744519864,0
-856756.4568902049,1
-844576.6359403452,0
-856757.1968439696,1
-614865.007004702,0
3056333.139622736,0
-856756.32021239,1
-854485.0837922292,0
-711481.1977676697,0
-856756.0291276815,1
-852087.2613009997,1
-856756.0181273454,1
-856756.3898219028,1
-856756.0126038725,1
-856756.0341111695,1
-37523.37725808262,1
4841219.329182339,1
-856756.0417141961,1
-856756.915743029,1
-853969.1793005534,0
-856755.9980458341,1
310046.9872025264,0
4835273.16121317,1
-768326.3078768096,0
-851268.9439185194,0
-668094.4156122844,0
-832815.1079096484,1
-856757.1141258883,1
2991019.3765321407,0
-557062.8503520251,0
-856756.5744154522,1
-421729.8224615208,0
-856756.2980194859,1
-856756.5952755405,0
821145.9316240022,0
-630931.8297566152,0
-856756.6147430484,1
-774911.1779821768,0
-856756.4092348112,1
-856636.4004705437,0
-855180.2264823089,0
-856756.0873878049,1
-856756.1534963178,1
280392.177400255,0
1511652.8241363731,0
263140.0057696096,0
-852391.4024620934,1
-849156.0511261058,0
-856619.8305974877,0
697437.9830379678,1
-856756.034901727,1
-818391.933850117,0
-856754.8571552255,0
6955111.634010882,1
-841268.0064349998,0
-637398.3552550437,0
-313214.00499061623,0
-835215.4034279212,0
-856756.876644507,1
-348985.30400554586,1
-856757.1141158529,1
-224422.6382368015,0
-849703.5669998821,0
-854177.3670415388,0
-856757.0273914016,1
-856756.5917821362,1
-856756.6412509796,1
-794472.3843853559,0
254937.98763857957,0
-855865.3494012121,1
-856756.3896281745,1
-856756.0060597173,1
-856756.186140243,1
-856756.5440086481,1
-856756.4331494528,1
-856756.9086707004,1
-856756.8546440742,1
-856756.9597021795,1
-856756.3895693992,1
-728451.789243718,0
-856756.6772940037,1
-856756.091783261,1
5383335.414967876,1
3845143.218832948,1
4640202.933850199,1
-856745.1160885677,0
9868488.511764906,1
-856756.1424610392,1
-845250.1224963464,0
-648852.5944449218,0
8818736.872697048,1
-838371.4040079921,0
-856755.998562074,1
-856757.1471169891,0
-856757.1942856032,0
7714939.500251342,0
-855292.7063580322,0
-856756.4295897195,1
4640566.933514541,1
-856756.8545318904,1
-856756.0349017828,1
-676881.8077484561,0
-832709.5355317657,0
4850414.328916182,1
-856745.1139517938,0
-856744.1139086126,0
-856756.5916066018,0
311336.40903013374,0
-856564.198380349,0
4841219.329180335,1
-850976.3098909168,0
-856756.3131269669,1
-856756.3860164589,0
-856756.8767435412,1
-852545.9361438141,0
6434077.387125567,0
-856687.4077891475,0
-856756.0324885021,1
-483549.0028680272,0
-773280.9397777949,0
-856756.9676648115,0
-856756.8559768699,1
-732442.6396198615,0
-657730.7341329136,0
-855795.471117434,0
466277.5030201889,0
-758298.0010160403,0
-856756.3507753793,1
-480715.639695529,0
-856756.0114225299,1
-853219.9984888035,1
-856756.1443018274,1
1630277.0528077995,0
-855180.2263221138,0
-856756.8547236033,1
-856756.8206144316,1
8963478.395279882,1
-856755.9983364209,0
-856756.6159075073,1
-856756.0152800411,1
-856610.6928867401,0
8800479.86555207,1
-856687.4081170574,0
-856065.3983571146,0
-831140.3988369819,0
1335854.3840185432,0
-704975.7399412113,0
-856756.0217334722,1
-856755.9985829468,1
-856749.4081859286,0
-856498.5094141628,0
-837286.1179900983,0
-856757.1141530203,1
3365351.0340853794,0
-856756.0152185502,1
-856756.5159855885,0
-847332.865859418,0
-856745.116017658,0
-838839.6663079228,0
-400104.4301404071,0
-856756.3896488786,1
3041379.755889074,1
1003378.9785284487,0
2223552.8256335254,0
-856755.9981920933,1
2848127.551752286,1
4902825.930090021,0
-838793.1084928015,1
-856745.11527861,0
-856757.2233377923,1
-856757.2233041397,1
-856756.574656518,1
-856755.9983283627,1
4850414.328915975,1
-856756.7484427936,0
-683670.6931864886,0
-856756.003706781,0
-856756.2259529853,1
2950961.304189427,0
-856756.8700517595,1
2341744.876106749,0
-782460.06733715,0
-307605.2465140241,0
-742145.0604702971,0
-856755.9980728134,1
34654.73527364631,0
-451484.0041234921,0
-730693.8514578888,0
-214098.00633144437,0
1799372.969142293,1
-856756.4364052553,1
633012.6757718887,0
1885947.4934899202,0
-856757.1141138352,1
-856756.7039534097,1
-856756.8559771844,1
-856756.0729728776,1
-856756.0044669864,1
-856756.3490009794,1
6129097.860341071,1
-856756.3119782464,1
2512735.991044435,0
-856757.0273828014,1
-856074.0550113992,0
263391.95756861113,0
-856756.0004341189,1
-856755.9980852724,1
-275500.03072039306,0
-856756.0098089884,0
-856756.8700391921,1
-856757.2121279229,0
869992.864181866,0
-570685.4055964989,0
-856756.2017429927,1
-856756.7972850618,0
-851834.9066978837,0
-503090.0029245888,0
-856757.027829024,1
-70898.1618163326,1
-856757.1141255808,1
514875.23766999657,0
-856572.9494998448,0
-841618.3109311836,0
-856756.644176939,1
-853741.9118492549,0
-856757.1319573675,1
-700146.3636001244,0
-856756.8540187688,1
-856756.8544971143,1
-231603.69292770314,0
-856756.4785747027,1
-802588.1732645311,0
3398191.9488464105,0
-855600.9865137325,0
4218583.730170008,0
-800356.6452783749,0
-215023.00662594545,1
6501993.910341879,0
-856574.52040745,0
6389899.70777131,0
-780999.9995832009,0
459365.9746045746,0
-856756.4156839967,1
-856756.5948676411,1
-852699.1462547348,0
-856756.5252366124,1
-856757.2230898109,1
-586491.520634558,0
-856756.0868860437,0
-856756.4685038585,0
2348561.7283537546,0
-856756.2527584445,0
-856755.9986031351,1
1564854.2564127399,1
-856756.0111947246,1
-856755.9980343643,0
-845937.8328554279,0
2488814.4771588724,0
-856756.6287585566,1
-856756.0163326947,1
-837609.1993080594,0
-856756.0378294189,1
-856757.2226900378,1
-856757.2231462866,1
-856756.1954335968,1
-671787.1440532092,0
-854162.3671201619,0
3362291.7349623484,0
-856620.8298149267,0
-856756.0315011234,1
-856756.7415706902,1
-652183.1418591061,0
-856756.4297016463,1
-708036.2258390067,0
-856736.4116268927,1
-856755.9983411254,1
-630963.0802066885,0
-856755.9980614987,1
903879.905078119,1
-856756.0087555029,1
-856756.3896730861,1
3783177.8689900623,0
-856757.0672666272,1
-856756.3901313378,0
-856756.3621428618,1
-759284.1231396763,0
-856756.9672105546,1
-856757.1141308635,1
100325.8378989232,1
-856755.9984091867,1
-844005.1597116827,0
4114383.9012189847,0
-835980.8522786056,0
-856755.9989054194,1
1544291.6252367985,0
-856756.8535367296,1
-853575.9508212792,0
-856757.019587543,1
-856757.1141168423,1
-855654.1122838411,0
-715715.73787445,0
-856757.1142168809,1
946694.5062632492,0
2714785.624538822,0
-856756.1431639751,0
667112.6659633048,0
4841219.329190166,1
-856756.132889309,1
-849834.0326528009,0
449799.691758009,0
-854437.0839905869,0
-573717.118510461,0
-766587.2191296415,0
-851353.5072511825,1
8472803.63232955,0
-856756.1026095651,1
-790824.3111721983,0
4959860.326531998,1
196229.86582860106,1
-825398.6352954716,1
1803186.0026056422,0
667938.3434568838,0
-856073.3981056263,0
-856756.8546290519,1
-856756.5734983133,0
-856357.5761373704,0
-856756.7525665924,1
-856756.4515882222,1
-495326.2018271273,0
-856755.997994177,1
551019.6334598557,0
-856073.3978131845,0
-823218.9998645843,0
829726.9808717173,0
-856757.2233950241,1
-856756.0164490449,1
-856756.6469419547,0
-722355.0003546663,1
-856756.1382568401,1
-856471.1767747042,0
4850414.32890884,1
-856757.0612986839,1
4850414.328915976,1
-856756.8198878155,0
1719995.7127135354,1
-856068.0542407779,0
-719951.5181577726,0
-856749.408461785,0
-854062.3513454988,0
-856757.1472490224,0
-791353.4886604988,0
-849822.0325471224,0
4850414.32881468,1
3162261.6429029326,0
-856756.3899396966,1
-856755.9983483091,1
-856756.797255153,0
-856575.949115139,0
-856756.6286733372,1
-846704.1716465803,0
-356312.4816263363,0
-854645.1354761824,0
1724116.7121095383,1
-856757.146857467,0
-855458.4026927036,0
-856756.2428261526,0
-603746.4238003255,0
117422.67572996579,0
-856756.9144238601,1
-849860.3666504928,0
-856756.811208865,0
-852902.0187117476,0
1527664.85561278,0
-856756.7506267516,1
-826272.8006950958,1
-856756.2004194681,0
-856756.927288349,1
1046690.3827134202,0
4113759.9097587666,0
-852353.402536708,1
-855448.2583849193,0
-856756.8700065038,1
-856756.6373226849,0
-419901.214323461,0
-764594.9711074252,0
-856756.8557960682,1
-848177.0704631247,0
-856757.2838192902,1
-856756.2115307837,1
-856727.005524915,0
-855654.5426646238,0
-856756.3130214094,1
-397947.37781807734,0
-856374.146373134,0
-837732.4458091556,0
-39288.60074011248,0
-810066.4774328117,0
8423319.306209954,1
-856757.1141409633,1
-798765.3777710872,0
-856756.001407881,1
-856755.9978214068,1
20950.558225480723,1
-501941.5297629872,1
-849005.6293394918,1
-578775.4790200922,1
762169.5654000895,0
-758490.2918290577,0
-734620.0000557505,0
-616913.5187264569,0
5561517.789072216,1
-856324.1690179182,0
-856756.0253823347,1
-854131.9983287349,0
1648936.5549702412,0
735594.6651740525,0
-856756.3450767766,1
-856756.351306287,1
-854567.15163046,0
-856757.1147701656,0
-856756.7019472227,0
-850679.2510865895,0
-856757.1142102436,1
-828002.9263703127,0
-856757.1468315951,0
-856756.0068161681,1
-819057.99908818,0
858913.7927074496,0
-856757.1142429482,1
-856755.9982905547,1
-779169.999649854,1
3273407.645066478,0
-851002.5496064838,1
-504128.2725633133,0
6209849.894027945,0
85785.22801094514,0
-856756.0844738723,1
-856756.8056805149,0
-856756.0172828888,1
6864238.757385114,0
2244322.9578043357,1
-856756.4220465033,1
-856756.00406069,1
-854343.9256431992,0
580069.9829799522,0
-852218.2342229823,0
-379579.6480122382,0
-355683.0052729277,0
-853232.9984757631,1
-856140.3944079914,0
363548.9814183392,0
-856756.8700391361,1
-856756.7321813261,1
-856756.3898670471,1
-328456.7112309013,0
338463.90348566964,0
5207390.709052287,1
3187735.823743175,1
-856756.1949798372,1
-856694.1347504337,0
-856755.998074791,1
2221295.646195666,0
-856756.6919828717,1
-842977.3512624266,0
-856756.0974580623,1
-856757.114540026,1
4972058.326277791,1
-425288.4158011825,0
-537136.4877706748,0
-856756.0057566863,1
-856073.3978234789,0
-856756.2194792653,0
-856756.0472701044,1
-856562.197856327,0
-759201.8769690562,1
-856756.3554142287,0
-856756.8227383659,0
-848022.5867224515,0
-315531.1383346765,0
-617203.4765151688,0
-856756.0452243795,1
-856756.0189333278,1
-364684.4422914398,0
-856756.090820399,1
-856756.8700517593,1
-856756.3541963391,1
4661646.077180505,1
-856756.3139819986,1
-856756.3201207559,1
-856756.0112891606,0
-856756.0301570215,1
-856757.114143906,1
-850875.7564844809,0
-856755.9983301508,0
-856756.8542275402,1
-856756.0012429394,1
-856212.6745925153,0
-856756.4891162375,1
-856756.0100511628,1
-856745.117429509,0
-856440.3968366517,0
-856755.9985409699,1
-856756.0058966973,1
-856756.0039464534,1
111264.98932704481,0
-666814.4157824339,0
1763797.9691404612,1
-856757.1141409548,1
-856755.9984122879,0
-375612.0924998688,1
-717769.4724606642,0
-856756.895759274,1
-850658.849620645,0
-852087.2611671197,1
-281292.0179490376,0
-856756.3278498262,0
-856756.0148762334,1
-856756.1966592507,1
-856756.8613396968,1
6860100.704483574,1
-765788.0558444741,0
2304425.96227286,0
-856756.4179357414,1
365738.9128670952,1
-855990.471520781,0
-856757.1141138352,1
-855446.7873945846,0
-820471.9989526712,1
4850414.328916087,1
21974.012667588075,0
-856666.705707118,0
-855085.9262669933,0
-856756.8505791428,0
-811623.1337385648,1
-621733.5600323104,0
-856756.3602116383,1
-854485.0839627762,0
4850414.3289086735,1
-856745.1147169304,0
-856756.8540866222,1
-853241.9989193969,1
-846126.1548695941,0
-855106.4737418694,0
-856756.8554731397,1
-773278.6916751234,0
-856756.2645251282,0
-854569.1514294177,0
-856374.1871006518,1
-856755.9978241862,1
-845213.0048859182,0
-808897.7138125845,0
-856756.8558692842,1
-856756.8544330215,1
9730622.806931896,1
5509319.943629119,1
-856756.1053657632,1
-691812.8154580106,0
-618157.0027462753,0
-856756.0065902445,1
-816852.6985334369,0
-856756.0145689477,1
2341925.320171685,0
2299414.1553062224,0
-856756.9687424444,0
-856756.4653560922,1
-856756.5345669204,1
-669896.654266143,0
-828308.9261065644,1
2155260.8135600165,0
-851196.1971366536,0
6826872.90554491,0
-856756.0145942377,1
2945977.2466152837,0
-787184.2479534519,1
-856756.8558545456,1
-856756.8556158771,1
-847843.7939390098,0
827346.43265577,0
-856755.998301016,0
-855788.1610509582,0
-856757.1147298228,0
-856756.0158223093,1
-779169.9996879396,1
-856756.1951605633,1
3580229.930404726,1
-838793.1084802774,1
-306881.0230087291,1
-856371.1868896853,1
-430170.5679773276,0
-658938.5335802017,0
-856756.8700517594,1
-856756.0159498295,1
4850414.3290711325,1
4841219.329171083,1
-778005.0109125506,0
-627008.35041341,0
-804335.6454521435,0
8271541.452950675,0
-478434.53206076723,0
-856756.5357808728,0
-856756.1270782193,1
7091059.446740471,1
-856409.2033809089,0
564997.2378309568,0
-856757.114069931,1
-856756.3758256806,1
-856756.6389327763,1
-37523.377334847115,1
1025701.9781688183,0
-856756.8013214597,0
-750599.4021254511,0
-848794.968268178,0
-856756.1616369047,1
-454415.91361381445,0
-856756.0209476105,1
-848894.8580954019,0
-856756.0771595149,1
-856756.0691156215,1
-856756.1321327847,1
-845281.9364137829,0
-856757.0322493634,1
-807095.3548677997,1
-854485.0838544371,0
-10081.05817410245,0
-785719.1916398439,0
-845688.8095374849,0
-856756.389779382,1
-856745.1198807593,0
360677.70339469344,0
-856372.1465120361,0
-856756.822901713,1
